"UserAccount Name","herkky"
"Title","Trip 2026/05/11 12:39 P.M. Krabi"
"Comment",""
"Vehicle Nickname","KLE500"
"Distance",
"Time",189
"R.Score",

"elapsed_msec","gps_latitude","gps_longitude","instant_fuel_consumption","water_temperature","boost_temperature","engine_RPM","wheel_speed","acceleration","throttle_position","boost_pressure","gear_position","brake_pressure_fr_caliper","lean_angle","rideology_score"
182.979996,8.075797,98.909576,0.000000,100.000000,0.000000,1630,0,0.000000,0,0,1,0.000000,0,0
183.979996,8.075797,98.909576,0.000000,100.000000,0.000000,1582,0,0.000000,0,0,1,0.000000,0,0
184.979996,8.075797,98.909576,0.000000,100.000000,0.000000,2440,0,0.000000,0,0,1,0.000000,0,0
185.979996,8.075797,98.909576,0.000000,100.000000,0.000000,3451,2,0.000000,0,0,1,0.000000,0,0
186.979996,8.075797,98.909576,0.000000,100.000000,0.000000,3546,10,0.000000,0,0,1,0.000000,0,0
187.979996,8.075817,98.909569,0.000000,100.000000,0.000000,3480,20,0.000000,0,0,1,0.000000,0,0
188.979996,8.075854,98.909546,0.000000,100.000000,0.000000,4805,28,0.000000,0,0,1,0.000000,0,0
189.979996,8.075908,98.909508,0.000000,100.000000,0.000000,5816,35,0.000000,0,0,1,0.000000,0,0
190.979996,8.075986,98.909470,0.000000,100.000000,0.000000,4718,36,0.000000,0,0,2,0.000000,0,0
191.979996,8.076071,98.909416,0.000000,100.000000,0.000000,4755,41,0.000000,0,0,2,0.000000,0,0
192.979996,8.076154,98.909370,0.000000,100.000000,0.000000,5454,48,0.000000,0,0,2,0.000000,0,0
193.979996,8.076257,98.909309,0.000000,100.000000,0.000000,5735,50,0.000000,0,0,3,0.000000,0,0
194.979996,8.076369,98.909248,0.000000,100.000000,0.000000,4469,48,0.000000,0,0,3,0.000000,0,0
195.979996,8.076476,98.909187,0.000000,100.000000,0.000000,4473,50,0.000000,0,0,3,0.000000,0,0
196.979996,8.076582,98.909126,0.000000,100.000000,0.000000,4656,52,0.000000,0,0,3,0.000000,0,0
